goal,difficulty,age,weight_kg,height_cm,gender,activity_level,muscle_group,exercise_name,exercise_type,sets,reps,duration_sec,rest_sec,order_in_workout,met_value,estimated_calories
Weight Loss,Advanced,53,62,181,female,very_active,Cardio,Mountain Climbers,cardio,3,0,36,36,1,8.0,14.9
Weight Loss,Advanced,53,62,181,female,very_active,Core,Ab Wheel Rollout,strength,3,18,0,36,2,4.0,17.4
Weight Loss,Advanced,53,62,181,female,very_active,Full Body,Burpees,cardio,3,0,36,36,3,10.0,18.6
Weight Loss,Advanced,53,62,181,female,very_active,Legs,Leg Press,strength,3,18,0,36,4,5.0,21.7
Weight Loss,Beginner,46,76,155,female,light,Cardio,Cycling,cardio,2,0,24,24,1,7.5,7.6
Weight Loss,Beginner,46,76,155,female,light,Core,Ab Wheel Rollout,strength,2,12,0,24,2,4.0,11.1
Weight Loss,Beginner,46,76,155,female,light,Full Body,Burpees,cardio,2,0,24,24,3,10.0,10.1
Weight Loss,Beginner,46,76,155,female,light,Legs,Squat,strength,2,12,0,24,4,6.0,16.7
Weight Loss,Advanced,32,103,170,female,very_active,Cardio,Burpees,cardio,3,0,36,36,1,10.0,30.9
Weight Loss,Advanced,32,103,170,female,very_active,Core,Russian Twist,strength,3,18,0,36,2,3.5,25.2
Weight Loss,Advanced,32,103,170,female,very_active,Full Body,Battle Ropes,cardio,3,0,36,36,3,10.0,30.9
Weight Loss,Advanced,32,103,170,female,very_active,Legs,Squat,strength,3,18,0,36,4,6.0,43.3
Weight Loss,Intermediate,41,100,165,female,light,Cardio,Mountain Climbers,cardio,3,0,30,30,1,8.0,20.0
Weight Loss,Intermediate,41,100,165,female,light,Core,Ab Wheel Rollout,strength,3,15,0,30,2,4.0,25.0
Weight Loss,Intermediate,41,100,165,female,light,Full Body,Clean and Press,cardio,3,0,30,30,3,9.0,22.5
Weight Loss,Intermediate,41,100,165,female,light,Legs,Calf Raises,strength,3,15,0,30,4,2.5,15.6
Weight Loss,Beginner,35,69,169,male,very_active,Cardio,Burpees,cardio,2,0,24,24,1,10.0,9.2
Weight Loss,Beginner,35,69,169,male,very_active,Core,Leg Raises,strength,2,12,0,24,2,3.0,7.6
Weight Loss,Beginner,35,69,169,male,very_active,Full Body,Battle Ropes,cardio,2,0,24,24,3,10.0,9.2
Weight Loss,Beginner,35,69,169,male,very_active,Legs,Calf Raises,strength,2,12,0,24,4,2.5,6.3
Muscle Gain,Advanced,43,57,163,male,active,Chest,Dips,strength,4,9,0,108,1,4.0,29.6
Muscle Gain,Advanced,43,57,163,male,active,Back,Seated Cable Row,strength,4,9,0,108,2,3.5,25.9
Muscle Gain,Advanced,43,57,163,male,active,Legs,Squat,strength,4,9,0,108,3,6.0,44.5
Muscle Gain,Advanced,43,57,163,male,active,Shoulders,Face Pull,strength,4,9,0,108,4,3.0,22.2
Muscle Gain,Advanced,43,57,163,male,active,Arms,Hammer Curl,strength,4,9,0,108,5,3.0,22.2
Weight Loss,Advanced,54,106,196,male,active,Cardio,Box Jumps,cardio,3,0,36,36,1,10.0,31.8
Weight Loss,Advanced,54,106,196,male,active,Core,Leg Raises,strength,3,18,0,36,2,3.0,22.3
Weight Loss,Advanced,54,106,196,male,active,Full Body,Battle Ropes,cardio,3,0,36,36,3,10.0,31.8
Weight Loss,Advanced,54,106,196,male,active,Legs,Romanian Deadlift,strength,3,18,0,36,4,5.0,37.1
Muscle Gain,Beginner,41,69,159,female,moderate,Chest,Cable Fly,strength,3,6,0,72,1,3.5,21.7
Muscle Gain,Beginner,41,69,159,female,moderate,Back,Lat Pulldown,strength,3,6,0,72,2,3.5,21.7
Muscle Gain,Beginner,41,69,159,female,moderate,Legs,Romanian Deadlift,strength,3,6,0,72,3,5.0,31.0
Muscle Gain,Beginner,41,69,159,female,moderate,Shoulders,Face Pull,strength,3,6,0,72,4,3.0,18.6
Muscle Gain,Beginner,41,69,159,female,moderate,Arms,Skull Crushers,strength,3,6,0,72,5,3.5,21.7
Maintain Weight,Beginner,38,64,168,female,active,Cardio,Battle Ropes,cardio,2,0,24,48,1,10.0,8.5
Maintain Weight,Beginner,38,64,168,female,active,Core,Crunches,strength,2,9,0,48,2,3.0,9.3
Maintain Weight,Beginner,38,64,168,female,active,Chest,Cable Fly,strength,2,9,0,48,3,3.5,10.8
Maintain Weight,Beginner,38,64,168,female,active,Legs,Lunges,strength,2,9,0,48,4,4.5,13.9
Maintain Weight,Beginner,38,64,168,female,active,Shoulders,Face Pull,strength,2,9,0,48,5,3.0,9.3
Weight Loss,Beginner,26,102,197,male,very_active,Cardio,Jump Rope,cardio,2,0,24,24,1,12.3,16.7
Weight Loss,Beginner,26,102,197,male,very_active,Core,Leg Raises,strength,2,12,0,24,2,3.0,11.2
Weight Loss,Beginner,26,102,197,male,very_active,Full Body,Battle Ropes,cardio,2,0,24,24,3,10.0,13.6
Weight Loss,Beginner,26,102,197,male,very_active,Legs,Calf Raises,strength,2,12,0,24,4,2.5,9.3
Maintain Weight,Advanced,45,90,184,female,light,Cardio,Kettlebell Swing,cardio,3,0,36,72,1,9.0,24.3
Maintain Weight,Advanced,45,90,184,female,light,Core,Russian Twist,strength,3,14,0,72,2,3.5,26.8
Maintain Weight,Advanced,45,90,184,female,light,Chest,Push Up,strength,3,14,0,72,3,3.8,29.1
Maintain Weight,Advanced,45,90,184,female,light,Legs,Calf Raises,strength,3,14,0,72,4,2.5,19.1
Maintain Weight,Advanced,45,90,184,female,light,Shoulders,Front Raise,strength,3,14,0,72,5,3.0,23.0
Weight Loss,Intermediate,22,58,174,female,light,Cardio,Jump Rope,cardio,3,0,30,30,1,12.3,17.8
Weight Loss,Intermediate,22,58,174,female,light,Core,Russian Twist,strength,3,15,0,30,2,3.5,12.7
Weight Loss,Intermediate,22,58,174,female,light,Full Body,Thruster,cardio,3,0,30,30,3,9.5,13.8
Weight Loss,Intermediate,22,58,174,female,light,Legs,Squat,strength,3,15,0,30,4,6.0,21.8
Maintain Weight,Beginner,34,112,177,female,sedentary,Cardio,Running,cardio,2,0,24,48,1,9.8,14.6
Maintain Weight,Beginner,34,112,177,female,sedentary,Core,Ab Wheel Rollout,strength,2,9,0,48,2,4.0,21.7
Maintain Weight,Beginner,34,112,177,female,sedentary,Chest,Incline Dumbbell Press,strength,2,9,0,48,3,4.5,24.4
Maintain Weight,Beginner,34,112,177,female,sedentary,Legs,Lunges,strength,2,9,0,48,4,4.5,24.4
Maintain Weight,Beginner,34,112,177,female,sedentary,Shoulders,Arnold Press,strength,2,9,0,48,5,4.0,21.7
Maintain Weight,Intermediate,21,80,199,male,very_active,Cardio,Burpees,cardio,3,0,30,60,1,10.0,20.0
Maintain Weight,Intermediate,21,80,199,male,very_active,Core,Russian Twist,strength,3,12,0,60,2,3.5,22.4
Maintain Weight,Intermediate,21,80,199,male,very_active,Chest,Dips,strength,3,12,0,60,3,4.0,25.6
Maintain Weight,Intermediate,21,80,199,male,very_active,Legs,Squat,strength,3,12,0,60,4,6.0,38.4
Maintain Weight,Intermediate,21,80,199,male,very_active,Shoulders,Overhead Press,strength,3,12,0,60,5,5.0,32.0
Weight Loss,Intermediate,18,52,180,male,light,Cardio,Mountain Climbers,cardio,3,0,30,30,1,8.0,10.4
Weight Loss,Intermediate,18,52,180,male,light,Core,Crunches,strength,3,15,0,30,2,3.0,9.8
Weight Loss,Intermediate,18,52,180,male,light,Full Body,Clean and Press,cardio,3,0,30,30,3,9.0,11.7
Weight Loss,Intermediate,18,52,180,male,light,Legs,Squat,strength,3,15,0,30,4,6.0,19.5
Muscle Gain,Advanced,27,69,195,male,very_active,Chest,Dips,strength,4,9,0,108,1,4.0,35.9
Muscle Gain,Advanced,27,69,195,male,very_active,Back,Pull Up,strength,4,9,0,108,2,5.0,44.9
Muscle Gain,Advanced,27,69,195,male,very_active,Legs,Leg Press,strength,4,9,0,108,3,5.0,44.9
Muscle Gain,Advanced,27,69,195,male,very_active,Shoulders,Lateral Raise,strength,4,9,0,108,4,3.0,26.9
Muscle Gain,Advanced,27,69,195,male,very_active,Arms,Hammer Curl,strength,4,9,0,108,5,3.0,26.9
Muscle Gain,Intermediate,25,61,180,male,very_active,Chest,Dips,strength,4,8,0,90,1,4.0,30.9
Muscle Gain,Intermediate,25,61,180,male,very_active,Back,Seated Cable Row,strength,4,8,0,90,2,3.5,27.0
Muscle Gain,Intermediate,25,61,180,male,very_active,Legs,Squat,strength,4,8,0,90,3,6.0,46.4
Muscle Gain,Intermediate,25,61,180,male,very_active,Shoulders,Arnold Press,strength,4,8,0,90,4,4.0,30.9
Muscle Gain,Intermediate,25,61,180,male,very_active,Arms,Hammer Curl,strength,4,8,0,90,5,3.0,23.2
Weight Loss,Advanced,35,101,188,female,very_active,Cardio,Running,cardio,3,0,36,36,1,9.8,29.7
Weight Loss,Advanced,35,101,188,female,very_active,Core,Leg Raises,strength,3,18,0,36,2,3.0,21.2
Weight Loss,Advanced,35,101,188,female,very_active,Full Body,Kettlebell Swing,cardio,3,0,36,36,3,9.0,27.3
Weight Loss,Advanced,35,101,188,female,very_active,Legs,Lunges,strength,3,18,0,36,4,4.5,31.8
Muscle Gain,Advanced,39,82,192,female,very_active,Chest,Incline Dumbbell Press,strength,4,9,0,108,1,4.5,48.0
Muscle Gain,Advanced,39,82,192,female,very_active,Back,Bent Over Row,strength,4,9,0,108,2,5.0,53.3
Muscle Gain,Advanced,39,82,192,female,very_active,Legs,Lunges,strength,4,9,0,108,3,4.5,48.0
Muscle Gain,Advanced,39,82,192,female,very_active,Shoulders,Front Raise,strength,4,9,0,108,4,3.0,32.0
Muscle Gain,Advanced,39,82,192,female,very_active,Arms,Tricep Pushdown,strength,4,9,0,108,5,3.0,32.0
Maintain Weight,Advanced,28,73,167,female,very_active,Cardio,Cycling,cardio,3,0,36,72,1,7.5,16.4
Maintain Weight,Advanced,28,73,167,female,very_active,Core,Ab Wheel Rollout,strength,3,14,0,72,2,4.0,24.8
Maintain Weight,Advanced,28,73,167,female,very_active,Chest,Bench Press,strength,3,14,0,72,3,5.0,31.0
Maintain Weight,Advanced,28,73,167,female,very_active,Legs,Squat,strength,3,14,0,72,4,6.0,37.2
Maintain Weight,Advanced,28,73,167,female,very_active,Shoulders,Overhead Press,strength,3,14,0,72,5,5.0,31.0
Muscle Gain,Beginner,24,50,166,male,moderate,Chest,Cable Fly,strength,3,6,0,72,1,3.5,15.8
Muscle Gain,Beginner,24,50,166,male,moderate,Back,Bent Over Row,strength,3,6,0,72,2,5.0,22.5
Muscle Gain,Beginner,24,50,166,male,moderate,Legs,Leg Press,strength,3,6,0,72,3,5.0,22.5
Muscle Gain,Beginner,24,50,166,male,moderate,Shoulders,Arnold Press,strength,3,6,0,72,4,4.0,18.0
Muscle Gain,Beginner,24,50,166,male,moderate,Arms,Skull Crushers,strength,3,6,0,72,5,3.5,15.8
Muscle Gain,Intermediate,51,74,158,female,active,Chest,Push Up,strength,4,8,0,90,1,3.8,35.6
Muscle Gain,Intermediate,51,74,158,female,active,Back,Deadlift,strength,4,8,0,90,2,6.0,56.2
Muscle Gain,Intermediate,51,74,158,female,active,Legs,Calf Raises,strength,4,8,0,90,3,2.5,23.4
Muscle Gain,Intermediate,51,74,158,female,active,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,28.1
Muscle Gain,Intermediate,51,74,158,female,active,Arms,Hammer Curl,strength,4,8,0,90,5,3.0,28.1
Maintain Weight,Intermediate,36,108,162,female,light,Cardio,Burpees,cardio,3,0,30,60,1,10.0,27.0
Maintain Weight,Intermediate,36,108,162,female,light,Core,Ab Wheel Rollout,strength,3,12,0,60,2,4.0,34.6
Maintain Weight,Intermediate,36,108,162,female,light,Chest,Push Up,strength,3,12,0,60,3,3.8,32.8
Maintain Weight,Intermediate,36,108,162,female,light,Legs,Lunges,strength,3,12,0,60,4,4.5,38.9
Maintain Weight,Intermediate,36,108,162,female,light,Shoulders,Arnold Press,strength,3,12,0,60,5,4.0,34.6
Muscle Gain,Intermediate,21,104,156,male,light,Chest,Incline Dumbbell Press,strength,4,8,0,90,1,4.5,59.3
Muscle Gain,Intermediate,21,104,156,male,light,Back,Lat Pulldown,strength,4,8,0,90,2,3.5,46.1
Muscle Gain,Intermediate,21,104,156,male,light,Legs,Squat,strength,4,8,0,90,3,6.0,79.0
Muscle Gain,Intermediate,21,104,156,male,light,Shoulders,Arnold Press,strength,4,8,0,90,4,4.0,52.7
Muscle Gain,Intermediate,21,104,156,male,light,Arms,Hammer Curl,strength,4,8,0,90,5,3.0,39.5
Weight Loss,Advanced,37,62,167,male,moderate,Cardio,Battle Ropes,cardio,3,0,36,36,1,10.0,18.6
Weight Loss,Advanced,37,62,167,male,moderate,Core,Plank,strength,3,18,0,36,2,3.5,15.2
Weight Loss,Advanced,37,62,167,male,moderate,Full Body,Kettlebell Swing,cardio,3,0,36,36,3,9.0,16.7
Weight Loss,Advanced,37,62,167,male,moderate,Legs,Romanian Deadlift,strength,3,18,0,36,4,5.0,21.7
Maintain Weight,Intermediate,39,88,188,male,active,Cardio,Jump Rope,cardio,3,0,30,60,1,12.3,27.1
Maintain Weight,Intermediate,39,88,188,male,active,Core,Plank,strength,3,12,0,60,2,3.5,24.6
Maintain Weight,Intermediate,39,88,188,male,active,Chest,Cable Fly,strength,3,12,0,60,3,3.5,24.6
Maintain Weight,Intermediate,39,88,188,male,active,Legs,Leg Press,strength,3,12,0,60,4,5.0,35.2
Maintain Weight,Intermediate,39,88,188,male,active,Shoulders,Front Raise,strength,3,12,0,60,5,3.0,21.1
Muscle Gain,Intermediate,34,116,161,female,active,Chest,Cable Fly,strength,4,8,0,90,1,3.5,51.4
Muscle Gain,Intermediate,34,116,161,female,active,Back,Bent Over Row,strength,4,8,0,90,2,5.0,73.5
Muscle Gain,Intermediate,34,116,161,female,active,Legs,Squat,strength,4,8,0,90,3,6.0,88.2
Muscle Gain,Intermediate,34,116,161,female,active,Shoulders,Arnold Press,strength,4,8,0,90,4,4.0,58.8
Muscle Gain,Intermediate,34,116,161,female,active,Arms,Bicep Curl,strength,4,8,0,90,5,3.0,44.1
Muscle Gain,Intermediate,50,86,167,male,moderate,Chest,Dips,strength,4,8,0,90,1,4.0,43.6
Muscle Gain,Intermediate,50,86,167,male,moderate,Back,Deadlift,strength,4,8,0,90,2,6.0,65.4
Muscle Gain,Intermediate,50,86,167,male,moderate,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,54.5
Muscle Gain,Intermediate,50,86,167,male,moderate,Shoulders,Arnold Press,strength,4,8,0,90,4,4.0,43.6
Muscle Gain,Intermediate,50,86,167,male,moderate,Arms,Tricep Pushdown,strength,4,8,0,90,5,3.0,32.7
Muscle Gain,Beginner,52,68,162,male,sedentary,Chest,Cable Fly,strength,3,6,0,72,1,3.5,21.4
Muscle Gain,Beginner,52,68,162,male,sedentary,Back,Seated Cable Row,strength,3,6,0,72,2,3.5,21.4
Muscle Gain,Beginner,52,68,162,male,sedentary,Legs,Romanian Deadlift,strength,3,6,0,72,3,5.0,30.6
Muscle Gain,Beginner,52,68,162,male,sedentary,Shoulders,Face Pull,strength,3,6,0,72,4,3.0,18.4
Muscle Gain,Beginner,52,68,162,male,sedentary,Arms,Bicep Curl,strength,3,6,0,72,5,3.0,18.4
Weight Loss,Beginner,19,80,198,male,active,Cardio,Cycling,cardio,2,0,24,24,1,7.5,8.0
Weight Loss,Beginner,19,80,198,male,active,Core,Leg Raises,strength,2,12,0,24,2,3.0,8.8
Weight Loss,Beginner,19,80,198,male,active,Full Body,Thruster,cardio,2,0,24,24,3,9.5,10.1
Weight Loss,Beginner,19,80,198,male,active,Legs,Squat,strength,2,12,0,24,4,6.0,17.6
Weight Loss,Intermediate,28,62,181,female,light,Cardio,Battle Ropes,cardio,3,0,30,30,1,10.0,15.5
Weight Loss,Intermediate,28,62,181,female,light,Core,Leg Raises,strength,3,15,0,30,2,3.0,11.6
Weight Loss,Intermediate,28,62,181,female,light,Full Body,Burpees,cardio,3,0,30,30,3,10.0,15.5
Weight Loss,Intermediate,28,62,181,female,light,Legs,Romanian Deadlift,strength,3,15,0,30,4,5.0,19.4
Muscle Gain,Beginner,25,62,175,male,active,Chest,Incline Dumbbell Press,strength,3,6,0,72,1,4.5,25.1
Muscle Gain,Beginner,25,62,175,male,active,Back,Deadlift,strength,3,6,0,72,2,6.0,33.5
Muscle Gain,Beginner,25,62,175,male,active,Legs,Calf Raises,strength,3,6,0,72,3,2.5,13.9
Muscle Gain,Beginner,25,62,175,male,active,Shoulders,Front Raise,strength,3,6,0,72,4,3.0,16.7
Muscle Gain,Beginner,25,62,175,male,active,Arms,Skull Crushers,strength,3,6,0,72,5,3.5,19.5
Weight Loss,Advanced,22,116,173,female,active,Cardio,Box Jumps,cardio,3,0,36,36,1,10.0,34.8
Weight Loss,Advanced,22,116,173,female,active,Core,Plank,strength,3,18,0,36,2,3.5,28.4
Weight Loss,Advanced,22,116,173,female,active,Full Body,Clean and Press,cardio,3,0,36,36,3,9.0,31.3
Weight Loss,Advanced,22,116,173,female,active,Legs,Lunges,strength,3,18,0,36,4,4.5,36.5
Muscle Gain,Intermediate,20,85,192,female,sedentary,Chest,Dips,strength,4,8,0,90,1,4.0,43.1
Muscle Gain,Intermediate,20,85,192,female,sedentary,Back,Lat Pulldown,strength,4,8,0,90,2,3.5,37.7
Muscle Gain,Intermediate,20,85,192,female,sedentary,Legs,Squat,strength,4,8,0,90,3,6.0,64.6
Muscle Gain,Intermediate,20,85,192,female,sedentary,Shoulders,Arnold Press,strength,4,8,0,90,4,4.0,43.1
Muscle Gain,Intermediate,20,85,192,female,sedentary,Arms,Tricep Pushdown,strength,4,8,0,90,5,3.0,32.3
Maintain Weight,Intermediate,38,50,191,male,very_active,Cardio,Kettlebell Swing,cardio,3,0,30,60,1,9.0,11.2
Maintain Weight,Intermediate,38,50,191,male,very_active,Core,Plank,strength,3,12,0,60,2,3.5,14.0
Maintain Weight,Intermediate,38,50,191,male,very_active,Chest,Bench Press,strength,3,12,0,60,3,5.0,20.0
Maintain Weight,Intermediate,38,50,191,male,very_active,Legs,Calf Raises,strength,3,12,0,60,4,2.5,10.0
Maintain Weight,Intermediate,38,50,191,male,very_active,Shoulders,Front Raise,strength,3,12,0,60,5,3.0,12.0
Muscle Gain,Intermediate,29,113,160,male,light,Chest,Dips,strength,4,8,0,90,1,4.0,57.3
Muscle Gain,Intermediate,29,113,160,male,light,Back,Pull Up,strength,4,8,0,90,2,5.0,71.6
Muscle Gain,Intermediate,29,113,160,male,light,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,71.6
Muscle Gain,Intermediate,29,113,160,male,light,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,42.9
Muscle Gain,Intermediate,29,113,160,male,light,Arms,Skull Crushers,strength,4,8,0,90,5,3.5,50.1
Muscle Gain,Beginner,46,68,162,male,very_active,Chest,Push Up,strength,3,6,0,72,1,3.8,23.3
Muscle Gain,Beginner,46,68,162,male,very_active,Back,Bent Over Row,strength,3,6,0,72,2,5.0,30.6
Muscle Gain,Beginner,46,68,162,male,very_active,Legs,Calf Raises,strength,3,6,0,72,3,2.5,15.3
Muscle Gain,Beginner,46,68,162,male,very_active,Shoulders,Front Raise,strength,3,6,0,72,4,3.0,18.4
Muscle Gain,Beginner,46,68,162,male,very_active,Arms,Tricep Pushdown,strength,3,6,0,72,5,3.0,18.4
Weight Loss,Beginner,49,101,174,female,light,Cardio,Cycling,cardio,2,0,24,24,1,7.5,10.1
Weight Loss,Beginner,49,101,174,female,light,Core,Crunches,strength,2,12,0,24,2,3.0,11.1
Weight Loss,Beginner,49,101,174,female,light,Full Body,Burpees,cardio,2,0,24,24,3,10.0,13.5
Weight Loss,Beginner,49,101,174,female,light,Legs,Leg Press,strength,2,12,0,24,4,5.0,18.5
Weight Loss,Beginner,36,93,194,female,active,Cardio,Mountain Climbers,cardio,2,0,24,24,1,8.0,9.9
Weight Loss,Beginner,36,93,194,female,active,Core,Crunches,strength,2,12,0,24,2,3.0,10.2
Weight Loss,Beginner,36,93,194,female,active,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,11.2
Weight Loss,Beginner,36,93,194,female,active,Legs,Calf Raises,strength,2,12,0,24,4,2.5,8.5
Weight Loss,Intermediate,33,94,161,female,moderate,Cardio,Kettlebell Swing,cardio,3,0,30,30,1,9.0,21.2
Weight Loss,Intermediate,33,94,161,female,moderate,Core,Leg Raises,strength,3,15,0,30,2,3.0,17.6
Weight Loss,Intermediate,33,94,161,female,moderate,Full Body,Burpees,cardio,3,0,30,30,3,10.0,23.5
Weight Loss,Intermediate,33,94,161,female,moderate,Legs,Squat,strength,3,15,0,30,4,6.0,35.2
Weight Loss,Advanced,53,56,186,female,moderate,Cardio,Mountain Climbers,cardio,3,0,36,36,1,8.0,13.4
Weight Loss,Advanced,53,56,186,female,moderate,Core,Ab Wheel Rollout,strength,3,18,0,36,2,4.0,15.7
Weight Loss,Advanced,53,56,186,female,moderate,Full Body,Kettlebell Swing,cardio,3,0,36,36,3,9.0,15.1
Weight Loss,Advanced,53,56,186,female,moderate,Legs,Lunges,strength,3,18,0,36,4,4.5,17.6
Weight Loss,Beginner,23,102,166,female,moderate,Cardio,Kettlebell Swing,cardio,2,0,24,24,1,9.0,12.2
Weight Loss,Beginner,23,102,166,female,moderate,Core,Crunches,strength,2,12,0,24,2,3.0,11.2
Weight Loss,Beginner,23,102,166,female,moderate,Full Body,Battle Ropes,cardio,2,0,24,24,3,10.0,13.6
Weight Loss,Beginner,23,102,166,female,moderate,Legs,Calf Raises,strength,2,12,0,24,4,2.5,9.3
Weight Loss,Intermediate,30,83,190,female,very_active,Cardio,Running,cardio,3,0,30,30,1,9.8,20.3
Weight Loss,Intermediate,30,83,190,female,very_active,Core,Crunches,strength,3,15,0,30,2,3.0,15.6
Weight Loss,Intermediate,30,83,190,female,very_active,Full Body,Clean and Press,cardio,3,0,30,30,3,9.0,18.7
Weight Loss,Intermediate,30,83,190,female,very_active,Legs,Leg Press,strength,3,15,0,30,4,5.0,25.9
Weight Loss,Advanced,35,81,175,female,very_active,Cardio,Running,cardio,3,0,36,36,1,9.8,23.8
Weight Loss,Advanced,35,81,175,female,very_active,Core,Ab Wheel Rollout,strength,3,18,0,36,2,4.0,22.7
Weight Loss,Advanced,35,81,175,female,very_active,Full Body,Burpees,cardio,3,0,36,36,3,10.0,24.3
Weight Loss,Advanced,35,81,175,female,very_active,Legs,Squat,strength,3,18,0,36,4,6.0,34.0
Muscle Gain,Intermediate,25,86,173,male,active,Chest,Bench Press,strength,4,8,0,90,1,5.0,54.5
Muscle Gain,Intermediate,25,86,173,male,active,Back,Bent Over Row,strength,4,8,0,90,2,5.0,54.5
Muscle Gain,Intermediate,25,86,173,male,active,Legs,Leg Press,strength,4,8,0,90,3,5.0,54.5
Muscle Gain,Intermediate,25,86,173,male,active,Shoulders,Lateral Raise,strength,4,8,0,90,4,3.0,32.7
Muscle Gain,Intermediate,25,86,173,male,active,Arms,Skull Crushers,strength,4,8,0,90,5,3.5,38.1
Muscle Gain,Advanced,31,112,162,male,active,Chest,Dips,strength,4,9,0,108,1,4.0,58.2
Muscle Gain,Advanced,31,112,162,male,active,Back,Seated Cable Row,strength,4,9,0,108,2,3.5,51.0
Muscle Gain,Advanced,31,112,162,male,active,Legs,Leg Press,strength,4,9,0,108,3,5.0,72.8
Muscle Gain,Advanced,31,112,162,male,active,Shoulders,Front Raise,strength,4,9,0,108,4,3.0,43.7
Muscle Gain,Advanced,31,112,162,male,active,Arms,Concentration Curl,strength,4,9,0,108,5,2.8,40.8
Maintain Weight,Intermediate,22,108,165,male,light,Cardio,Mountain Climbers,cardio,3,0,30,60,1,8.0,21.6
Maintain Weight,Intermediate,22,108,165,male,light,Core,Ab Wheel Rollout,strength,3,12,0,60,2,4.0,34.6
Maintain Weight,Intermediate,22,108,165,male,light,Chest,Bench Press,strength,3,12,0,60,3,5.0,43.2
Maintain Weight,Intermediate,22,108,165,male,light,Legs,Calf Raises,strength,3,12,0,60,4,2.5,21.6
Maintain Weight,Intermediate,22,108,165,male,light,Shoulders,Lateral Raise,strength,3,12,0,60,5,3.0,25.9
Weight Loss,Beginner,50,111,169,female,active,Cardio,Jump Rope,cardio,2,0,24,24,1,12.3,18.2
Weight Loss,Beginner,50,111,169,female,active,Core,Leg Raises,strength,2,12,0,24,2,3.0,12.2
Weight Loss,Beginner,50,111,169,female,active,Full Body,Burpees,cardio,2,0,24,24,3,10.0,14.8
Weight Loss,Beginner,50,111,169,female,active,Legs,Romanian Deadlift,strength,2,12,0,24,4,5.0,20.4
Muscle Gain,Intermediate,44,105,186,female,active,Chest,Bench Press,strength,4,8,0,90,1,5.0,66.5
Muscle Gain,Intermediate,44,105,186,female,active,Back,Pull Up,strength,4,8,0,90,2,5.0,66.5
Muscle Gain,Intermediate,44,105,186,female,active,Legs,Squat,strength,4,8,0,90,3,6.0,79.8
Muscle Gain,Intermediate,44,105,186,female,active,Shoulders,Face Pull,strength,4,8,0,90,4,3.0,39.9
Muscle Gain,Intermediate,44,105,186,female,active,Arms,Skull Crushers,strength,4,8,0,90,5,3.5,46.6
Weight Loss,Intermediate,30,53,174,female,moderate,Cardio,Battle Ropes,cardio,3,0,30,30,1,10.0,13.2
Weight Loss,Intermediate,30,53,174,female,moderate,Core,Russian Twist,strength,3,15,0,30,2,3.5,11.6
Weight Loss,Intermediate,30,53,174,female,moderate,Full Body,Battle Ropes,cardio,3,0,30,30,3,10.0,13.2
Weight Loss,Intermediate,30,53,174,female,moderate,Legs,Romanian Deadlift,strength,3,15,0,30,4,5.0,16.6
Weight Loss,Intermediate,43,99,156,male,light,Cardio,Battle Ropes,cardio,3,0,30,30,1,10.0,24.8
Weight Loss,Intermediate,43,99,156,male,light,Core,Plank,strength,3,15,0,30,2,3.5,21.7
Weight Loss,Intermediate,43,99,156,male,light,Full Body,Burpees,cardio,3,0,30,30,3,10.0,24.8
Weight Loss,Intermediate,43,99,156,male,light,Legs,Calf Raises,strength,3,15,0,30,4,2.5,15.5
Weight Loss,Beginner,36,93,179,male,moderate,Cardio,Box Jumps,cardio,2,0,24,24,1,10.0,12.4
Weight Loss,Beginner,36,93,179,male,moderate,Core,Plank,strength,2,12,0,24,2,3.5,11.9
Weight Loss,Beginner,36,93,179,male,moderate,Full Body,Burpees,cardio,2,0,24,24,3,10.0,12.4
Weight Loss,Beginner,36,93,179,male,moderate,Legs,Lunges,strength,2,12,0,24,4,4.5,15.3
Weight Loss,Intermediate,40,63,160,male,active,Cardio,Burpees,cardio,3,0,30,30,1,10.0,15.8
Weight Loss,Intermediate,40,63,160,male,active,Core,Leg Raises,strength,3,15,0,30,2,3.0,11.8
Weight Loss,Intermediate,40,63,160,male,active,Full Body,Battle Ropes,cardio,3,0,30,30,3,10.0,15.8
Weight Loss,Intermediate,40,63,160,male,active,Legs,Romanian Deadlift,strength,3,15,0,30,4,5.0,19.7
Maintain Weight,Intermediate,23,112,192,female,light,Cardio,Kettlebell Swing,cardio,3,0,30,60,1,9.0,25.2
Maintain Weight,Intermediate,23,112,192,female,light,Core,Leg Raises,strength,3,12,0,60,2,3.0,26.9
Maintain Weight,Intermediate,23,112,192,female,light,Chest,Dips,strength,3,12,0,60,3,4.0,35.8
Maintain Weight,Intermediate,23,112,192,female,light,Legs,Squat,strength,3,12,0,60,4,6.0,53.8
Maintain Weight,Intermediate,23,112,192,female,light,Shoulders,Lateral Raise,strength,3,12,0,60,5,3.0,26.9
Maintain Weight,Beginner,52,95,176,male,very_active,Cardio,Mountain Climbers,cardio,2,0,24,48,1,8.0,10.1
Maintain Weight,Beginner,52,95,176,male,very_active,Core,Russian Twist,strength,2,9,0,48,2,3.5,16.1
